param_value,metric,start_weight,end_weight,width
0.5,accuracy,0.0043844958374974,0.005087623906329,0.0007031280688316001
0.5,f1,0.0043844958374974,0.005087623906329,0.0007031280688316001
0.5,mcc,0.0043844958374974,0.0049704358948571,0.0005859400573597004
1.0,accuracy,0.0034569309429591,0.005161857001403,0.0017049260584438997
1.0,f1,0.0034569309429591,0.0052755187386326,0.0018185877956735002
1.0,mcc,0.0041389013663367,0.005161857001403,0.0010229556350662998
2.0,accuracy,0.0034556516919795,0.0055878354668775,0.0021321837748980005
2.0,f1,0.0035622608807244,0.0055878354668775,0.0020255745861531005
2.0,mcc,0.0036688700694693,0.0052680079006428,0.0015991378311734999
