param_value,metric,start_weight,end_weight,width
0.5,accuracy,0.0026266756654183,0.0053219999292729,0.0026953242638546
0.5,f1,0.0026266756654183,0.0053219999292729,0.0026953242638546
0.5,mcc,0.0029782396998341,0.0053219999292729,0.0023437602294388
1.0,accuracy,0.0018656666217448,0.0055028422130918,0.0036371755913470003
1.0,f1,0.0018656666217448,0.0052755187386326,0.0034098521168878003
1.0,mcc,0.0027749605195816,0.005161857001403,0.0023868964818214
2.0,accuracy,0.0017499046720612,0.0055878354668775,0.0038379307948163003
2.0,f1,0.0017499046720612,0.0055878354668775,0.0038379307948163003
2.0,mcc,0.0023895598045306,0.0052680079006428,0.0028784480961122
